objective	Var1	methods_concat
connect molecular patterns to phenotypic traits	regression	cox regression 1, multivariable cox regression analysis 1, regression 1
connect molecular patterns to phenotypic traits	regression	elastic net 1, modularity constrained logistic regression model 1, regression 1, spls regression 1
connect molecular patterns to phenotypic traits	jdr - linear - mf	non negative matrix factorization 1
connect molecular patterns to phenotypic traits	correlation	correlation 1
connect molecular patterns to phenotypic traits	correlation	correlation 3, spearman's rank correlation 1
connect molecular patterns to phenotypic traits	jdr - partial least squares	diablo 1
connect molecular patterns to phenotypic traits	jdr - partial least squares	pls 6, consensus orthogonal pls 1, sparse pls-da 1
connect molecular patterns to phenotypic traits	jdr - linear	kernel machine 1, multi-kernel linear mixed model with adaptive lasso 1
connect molecular patterns to phenotypic traits	jdr - nonlinear	deep denoising autoencoder and multi layer perceptron 1, multi view autoencoder 1
connect molecular patterns to phenotypic traits	other tools	metaboanalyst 2
connect molecular patterns to phenotypic traits	ml classification	deep learning 1
biomarker discovery	graph-based	absnf 1
biomarker discovery	multiomics pathway analysis	david 1, panther 1
biomarker discovery	regression	elastic net 1, lasso 1, tensor regression 1
biomarker discovery	regression	linear regression 1, logistic regression 1, multivariable logistic regression 1, multivariate orthogonal pls-da 1, regression 1
biomarker discovery	jdr - linear - mf	mofa 2, diverse 1, pca 1
biomarker discovery	correlation	correlation 2
biomarker discovery	jdr - partial least squares	pls 2
biomarker discovery	jdr - linear	kernel 1
biomarker discovery	jdr - correlation-based	canonical correlation analysis 1
biomarker discovery	jdr - nonlinear	mogonet graph convolutional network 1, neural network 1
biomarker discovery	network analysis	network 1, networkanalyst 1
biomarker discovery	network analysis	network 7, biomened neural encoder decoder network 1, omics integrator 1, piumet 1, smccnet: sparse multiple canonical correlation network analysis tool 1
biomarker discovery	ml classification	random forest 1, svm 1
biomarker discovery	ml classification	boruta random forest feature selection 1, random forest 1
