Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Influenza Life Cycle Homo sapiens R-HSA-168255	30/136	1.28E-53	2.63E-52	0	0	280.8113208	34199.48105	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Major pathway of rRNA processing in the nucleolus Homo sapiens R-HSA-6791226	31/166	4.25E-53	8.29E-52	0	0	239.4795322	28878.81352	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;FBL;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Influenza Infection Homo sapiens R-HSA-168254	30/147	1.73E-52	3.21E-51	0	0	254.2692308	30305.40091	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
rRNA processing Homo sapiens R-HSA-72312	31/180	6.62E-52	1.17E-50	0	0	216.8247969	25551.73238	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;FBL;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Infectious disease Homo sapiens R-HSA-5663205	31/348	1.67E-42	2.83E-41	0	0	101.0498091	9720.681785	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;UBB;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Metabolism of amino acids and derivatives Homo sapiens R-HSA-71291	30/335	4.91E-41	7.97E-40	0	0	96.6147541	8967.341664	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
"Formation of the ternary complex, and subsequently, the 43S complex Homo sapiens R-HSA-72695"	17/50	2.51E-33	3.91E-32	0	0	310.9173554	23339.07113	RPS9;RPS8;RPS5;RPS15;RPS25;RPS28;RPS16;RPS27;RPS19;EIF3K;RPS29;RPS3;RPS20;RPS11;RPS27A;RPS21;RPS23
Disease Homo sapiens R-HSA-1643685	31/725	1.84E-32	2.76E-31	0	0	45.27043834	3307.991563	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;UBB;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Ribosomal scanning and start codon recognition Homo sapiens R-HSA-72702	17/57	3.52E-32	4.90E-31	0	0	256.4166667	18570.73121	RPS9;RPS8;RPS5;RPS15;RPS25;RPS28;RPS16;RPS27;RPS19;EIF3K;RPS29;RPS3;RPS20;RPS11;RPS27A;RPS21;RPS23
Translation initiation complex formation Homo sapiens R-HSA-72649	17/57	3.52E-32	4.90E-31	0	0	256.4166667	18570.73121	RPS9;RPS8;RPS5;RPS15;RPS25;RPS28;RPS16;RPS27;RPS19;EIF3K;RPS29;RPS3;RPS20;RPS11;RPS27A;RPS21;RPS23
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S Homo sapiens R-HSA-72662"	17/58	4.97E-32	6.69E-31	0	0	250.150037	18030.49196	RPS9;RPS8;RPS5;RPS15;RPS25;RPS28;RPS16;RPS27;RPS19;EIF3K;RPS29;RPS3;RPS20;RPS11;RPS27A;RPS21;RPS23
Metabolism of proteins Homo sapiens R-HSA-392499	33/1074	3.12E-30	4.05E-29	0	0	35.26004408	2395.57814	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;UBB;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;EIF3K;EEF1D;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Gene Expression Homo sapiens R-HSA-74160	37/1631	4.47E-30	5.63E-29	0	0	32.77540778	2214.939844	RPL30;RPL3;RPL11;RPL8;RPL10A;COX7C;RPL7;RPS15;FBL;RPS16;RPS19;SNRPD2;RPL18A;UBB;RPS3;RPS11;RPS27A;RPL19;HSPA8;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;EIF3K;EEF1D;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Metabolism Homo sapiens R-HSA-1430728	34/1908	1.64E-23	2.00E-22	0	0	20.4970651	1075.321382	RPL30;NDUFA13;RPL3;UQCRB;RPL11;RPL8;RPL10A;COX7C;RPL7;RPS15;RPS16;RPS19;RPL18A;UBB;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Downregulation of ERBB4 signaling Homo sapiens R-HSA-1253288	03-Aug	8.16E-07	9.64E-06	0	0	254.6170213	3569.432966	UBB;RPS27A;UBA52
PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1 Homo sapiens R-HSA-8849469	03-Sep	1.22E-06	1.40E-05	0	0	212.1702128	2888.723787	UBB;RPS27A;UBA52
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation Homo sapiens R-HSA-975163	03-Oct	1.74E-06	1.74E-05	0	0	181.8510638	2411.382966	UBB;RPS27A;UBA52
IRAK2 mediated activation of TAK1 complex Homo sapiens R-HSA-937042	03-Oct	1.74E-06	1.74E-05	0	0	181.8510638	2411.382966	UBB;RPS27A;UBA52
Diseases of carbohydrate metabolism Homo sapiens R-HSA-5663084	03-Oct	1.74E-06	1.74E-05	0	0	181.8510638	2411.382966	UBB;RPS27A;UBA52
Myoclonic epilepsy of Lafora Homo sapiens R-HSA-3785653	03-Oct	1.74E-06	1.74E-05	0	0	181.8510638	2411.382966	UBB;RPS27A;UBA52
Glycogen storage diseases Homo sapiens R-HSA-3229121	03-Oct	1.74E-06	1.74E-05	0	0	181.8510638	2411.382966	UBB;RPS27A;UBA52
Membrane binding and targetting of GAG proteins Homo sapiens R-HSA-174490	03-Nov	2.39E-06	2.28E-05	0	0	159.1117021	2059.464527	UBB;RPS27A;UBA52
"Synthesis And Processing Of GAG, GAGPOL Polyproteins Homo sapiens R-HSA-174495"	03-Nov	2.39E-06	2.28E-05	0	0	159.1117021	2059.464527	UBB;RPS27A;UBA52
Negative regulation of MAPK pathway Homo sapiens R-HSA-5675221	Apr-40	2.96E-06	2.74E-05	0	0	48.10144928	612.4237213	UBB;PEBP1;RPS27A;UBA52
p75NTR recruits signalling complexes Homo sapiens R-HSA-209543	Mar-13	4.13E-06	3.50E-05	0	0	127.2765957	1577.846344	UBB;RPS27A;UBA52
NF-kB is activated and signals survival Homo sapiens R-HSA-209560	Mar-13	4.13E-06	3.50E-05	0	0	127.2765957	1577.846344	UBB;RPS27A;UBA52
Assembly Of The HIV Virion Homo sapiens R-HSA-175474	Mar-13	4.13E-06	3.50E-05	0	0	127.2765957	1577.846344	UBB;RPS27A;UBA52
Downregulation of ERBB2:ERBB3 signaling Homo sapiens R-HSA-1358803	Mar-13	4.13E-06	3.50E-05	0	0	127.2765957	1577.846344	UBB;RPS27A;UBA52
Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor Homo sapiens R-HSA-156988	Mar-14	5.25E-06	4.36E-05	0	0	115.7001934	1406.634986	UBB;RPS27A;UBA52
Regulation of innate immune responses to cytosolic DNA Homo sapiens R-HSA-3134975	Mar-15	6.55E-06	4.82E-05	0	0	106.0531915	1265.872335	UBB;RPS27A;UBA52
Association of licensing factors with the pre-replicative complex Homo sapiens R-HSA-69298	Mar-15	6.55E-06	4.82E-05	0	0	106.0531915	1265.872335	UBB;RPS27A;UBA52
Constitutive Signaling by NOTCH1 HD Domain Mutants Homo sapiens R-HSA-2691232	Mar-15	6.55E-06	4.82E-05	0	0	106.0531915	1265.872335	UBB;RPS27A;UBA52
Signaling by NOTCH1 HD Domain Mutants in Cancer Homo sapiens R-HSA-2691230	Mar-15	6.55E-06	4.82E-05	0	0	106.0531915	1265.872335	UBB;RPS27A;UBA52
NRIF signals cell death from the nucleus Homo sapiens R-HSA-205043	Mar-15	6.55E-06	4.82E-05	0	0	106.0531915	1265.872335	UBB;RPS27A;UBA52
Glycogen synthesis Homo sapiens R-HSA-3322077	Mar-15	6.55E-06	4.82E-05	0	0	106.0531915	1265.872335	UBB;RPS27A;UBA52
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition) Homo sapiens R-HSA-2173791	Mar-16	8.05E-06	5.32E-05	0	0	97.8903437	1148.285367	UBB;RPS27A;UBA52
Translesion synthesis by REV1 Homo sapiens R-HSA-110312	Mar-16	8.05E-06	5.32E-05	0	0	97.8903437	1148.285367	UBB;RPS27A;UBA52
p75NTR signals via NF-kB Homo sapiens R-HSA-193639	Mar-16	8.05E-06	5.32E-05	0	0	97.8903437	1148.285367	UBB;RPS27A;UBA52
TRAF6 mediated induction of TAK1 complex Homo sapiens R-HSA-937072	Mar-16	8.05E-06	5.32E-05	0	0	97.8903437	1148.285367	UBB;RPS27A;UBA52
Spry regulation of FGF signaling Homo sapiens R-HSA-1295596	Mar-16	8.05E-06	5.32E-05	0	0	97.8903437	1148.285367	UBB;RPS27A;UBA52
MAP3K8 (TPL2)-dependent MAPK1/3 activation Homo sapiens R-HSA-5684264	Mar-16	8.05E-06	5.32E-05	0	0	97.8903437	1148.285367	UBB;RPS27A;UBA52
Translesion synthesis by POLK Homo sapiens R-HSA-5655862	Mar-17	9.75E-06	6.24E-05	0	0	90.89361702	1048.723971	UBB;RPS27A;UBA52
Translesion synthesis by POLI Homo sapiens R-HSA-5656121	Mar-17	9.75E-06	6.24E-05	0	0	90.89361702	1048.723971	UBB;RPS27A;UBA52
AUF1 (hnRNP D0) binds and destabilizes mRNA Homo sapiens R-HSA-450408	Apr-54	9.97E-06	6.27E-05	0	0	34.60869565	398.5625164	HSPA8;UBB;RPS27A;UBA52
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha Homo sapiens R-HSA-1234176	Mar-18	1.17E-05	7.12E-05	0	0	84.82978723	963.4429809	UBB;RPS27A;UBA52
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon Homo sapiens R-HSA-936964	Mar-18	1.17E-05	7.12E-05	0	0	84.82978723	963.4429809	UBB;RPS27A;UBA52
Regulation of TP53 Activity through Methylation Homo sapiens R-HSA-6804760	Mar-19	1.38E-05	7.83E-05	0	0	79.52393617	889.6562746	UBB;RPS27A;UBA52
Translesion Synthesis by POLH Homo sapiens R-HSA-110320	Mar-19	1.38E-05	7.83E-05	0	0	79.52393617	889.6562746	UBB;RPS27A;UBA52
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants Homo sapiens R-HSA-1236382	Mar-19	1.38E-05	7.83E-05	0	0	79.52393617	889.6562746	UBB;RPS27A;UBA52
Signaling by Ligand-Responsive EGFR Variants in Cancer Homo sapiens R-HSA-5637815	Mar-19	1.38E-05	7.83E-05	0	0	79.52393617	889.6562746	UBB;RPS27A;UBA52
Signaling by EGFR in Cancer Homo sapiens R-HSA-1643713	Mar-19	1.38E-05	7.83E-05	0	0	79.52393617	889.6562746	UBB;RPS27A;UBA52
Regulation of FZD by ubiquitination Homo sapiens R-HSA-4641263	Mar-21	1.89E-05	1.04E-04	0	0	70.68085106	768.5926131	UBB;RPS27A;UBA52
NOTCH2 Activation and Transmission of Signal to the Nucleus Homo sapiens R-HSA-2979096	Mar-21	1.89E-05	1.04E-04	0	0	70.68085106	768.5926131	UBB;RPS27A;UBA52
Pink/Parkin Mediated Mitophagy Homo sapiens R-HSA-5205685	Mar-22	2.19E-05	1.17E-04	0	0	66.95744681	718.4055141	UBB;RPS27A;UBA52
Mitophagy Homo sapiens R-HSA-5205647	Mar-22	2.19E-05	1.17E-04	0	0	66.95744681	718.4055141	UBB;RPS27A;UBA52
Gap-filling DNA repair synthesis and ligation in GG-NER Homo sapiens R-HSA-5696397	Mar-23	2.51E-05	1.29E-04	0	0	63.60638298	673.6732113	UBB;RPS27A;UBA52
Downregulation of SMAD2/3:SMAD4 transcriptional activity Homo sapiens R-HSA-2173795	Mar-23	2.51E-05	1.29E-04	0	0	63.60638298	673.6732113	UBB;RPS27A;UBA52
APC/C:Cdc20 mediated degradation of Cyclin B Homo sapiens R-HSA-174048	Mar-23	2.51E-05	1.29E-04	0	0	63.60638298	673.6732113	UBB;RPS27A;UBA52
IKK complex recruitment mediated by RIP1 Homo sapiens R-HSA-937041	Mar-24	2.87E-05	1.45E-04	0	0	60.57446809	633.5793754	UBB;RPS27A;UBA52
Budding and maturation of HIV virion Homo sapiens R-HSA-162588	Mar-25	3.25E-05	1.61E-04	0	0	57.81818182	597.4606437	UBB;RPS27A;UBA52
APC-Cdc20 mediated degradation of Nek2A Homo sapiens R-HSA-179409	Mar-25	3.25E-05	1.61E-04	0	0	57.81818182	597.4606437	UBB;RPS27A;UBA52
Downregulation of TGF-beta receptor signaling Homo sapiens R-HSA-2173788	Mar-26	3.67E-05	1.75E-04	0	0	55.30157262	564.7726521	UBB;RPS27A;UBA52
Regulation of Hypoxia-inducible Factor (HIF) by oxygen Homo sapiens R-HSA-1234174	Mar-26	3.67E-05	1.75E-04	0	0	55.30157262	564.7726521	UBB;RPS27A;UBA52
Cellular response to hypoxia Homo sapiens R-HSA-2262749	Mar-26	3.67E-05	1.75E-04	0	0	55.30157262	564.7726521	UBB;RPS27A;UBA52
EGFR downregulation Homo sapiens R-HSA-182971	Mar-27	4.12E-05	1.94E-04	0	0	52.99468085	535.0646949	UBB;RPS27A;UBA52
Recognition of DNA damage by PCNA-containing replication complex Homo sapiens R-HSA-110314	Mar-28	4.61E-05	2.11E-04	0	0	50.87234043	507.9605656	UBB;RPS27A;UBA52
Endosomal Sorting Complex Required For Transport (ESCRT) Homo sapiens R-HSA-917729	Mar-28	4.61E-05	2.11E-04	0	0	50.87234043	507.9605656	UBB;RPS27A;UBA52
Negative regulation of FGFR3 signaling Homo sapiens R-HSA-5654732	Mar-29	5.13E-05	2.33E-04	0	0	48.91325696	483.1438948	UBB;RPS27A;UBA52
Termination of translesion DNA synthesis Homo sapiens R-HSA-5656169	Mar-30	5.69E-05	2.52E-04	0	0	47.09929078	460.3468031	UBB;RPS27A;UBA52
Activated NOTCH1 Transmits Signal to the Nucleus Homo sapiens R-HSA-2122948	Mar-30	5.69E-05	2.52E-04	0	0	47.09929078	460.3468031	UBB;RPS27A;UBA52
Negative regulation of FGFR4 signaling Homo sapiens R-HSA-5654733	Mar-31	6.29E-05	2.70E-04	0	0	45.41489362	439.3410294	UBB;RPS27A;UBA52
Regulation of TNFR1 signaling Homo sapiens R-HSA-5357905	Mar-31	6.29E-05	2.70E-04	0	0	45.41489362	439.3410294	UBB;RPS27A;UBA52
Regulation of mRNA stability by proteins that bind AU-rich elements Homo sapiens R-HSA-450531	Apr-86	6.31E-05	2.70E-04	0	0	21.06892895	203.7519075	HSPA8;UBB;RPS27A;UBA52
TGF-beta receptor signaling activates SMADs Homo sapiens R-HSA-2173789	Mar-32	6.93E-05	2.81E-04	0	0	43.84666178	419.9309285	UBB;RPS27A;UBA52
Signaling by NOTCH2 Homo sapiens R-HSA-1980145	Mar-32	6.93E-05	2.81E-04	0	0	43.84666178	419.9309285	UBB;RPS27A;UBA52
Oncogene Induced Senescence Homo sapiens R-HSA-2559585	Mar-32	6.93E-05	2.81E-04	0	0	43.84666178	419.9309285	UBB;RPS27A;UBA52
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription Homo sapiens R-HSA-2173796	Mar-32	6.93E-05	2.81E-04	0	0	43.84666178	419.9309285	UBB;RPS27A;UBA52
Negative regulation of FGFR1 signaling Homo sapiens R-HSA-5654726	Mar-32	6.93E-05	2.81E-04	0	0	43.84666178	419.9309285	UBB;RPS27A;UBA52
Negative regulation of FGFR2 signaling Homo sapiens R-HSA-5654727	Mar-34	8.33E-05	3.31E-04	0	0	41.01372684	385.2458906	UBB;RPS27A;UBA52
Negative regulators of RIG-I/MDA5 signaling Homo sapiens R-HSA-936440	Mar-34	8.33E-05	3.31E-04	0	0	41.01372684	385.2458906	UBB;RPS27A;UBA52
Regulation of TP53 Degradation Homo sapiens R-HSA-6804757	Mar-35	9.09E-05	3.55E-04	0	0	39.73005319	369.6978192	UBB;RPS27A;UBA52
Fanconi Anemia Pathway Homo sapiens R-HSA-6783310	Mar-35	9.09E-05	3.55E-04	0	0	39.73005319	369.6978192	UBB;RPS27A;UBA52
Regulation of TP53 Expression and Degradation Homo sapiens R-HSA-6806003	Mar-36	9.90E-05	3.82E-04	0	0	38.52417795	355.1925838	UBB;RPS27A;UBA52
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template Homo sapiens R-HSA-110313	Mar-37	1.08E-04	4.11E-04	0	0	37.38923655	341.6326661	UBB;RPS27A;UBA52
DNA Damage Recognition in GG-NER Homo sapiens R-HSA-5696394	Mar-38	1.17E-04	4.33E-04	0	0	36.31914894	328.9321334	UBB;RPS27A;UBA52
G1 Phase Homo sapiens R-HSA-69236	Mar-38	1.17E-04	4.33E-04	0	0	36.31914894	328.9321334	UBB;RPS27A;UBA52
Cyclin D associated events in G1 Homo sapiens R-HSA-69231	Mar-38	1.17E-04	4.33E-04	0	0	36.31914894	328.9321334	UBB;RPS27A;UBA52
Dual Incision in GG-NER Homo sapiens R-HSA-5696400	Mar-39	1.26E-04	4.64E-04	0	0	35.30851064	317.014983	UBB;RPS27A;UBA52
TNF signaling Homo sapiens R-HSA-75893	Mar-41	1.47E-04	5.34E-04	0	0	33.44680851	295.2684101	UBB;RPS27A;UBA52
Deactivation of the beta-catenin transactivating complex Homo sapiens R-HSA-3769402	Mar-42	1.58E-04	5.69E-04	0	0	32.58756137	285.3252816	UBB;RPS27A;UBA52
Formation of Incision Complex in GG-NER Homo sapiens R-HSA-5696395	Mar-43	1.69E-04	6.05E-04	0	0	31.7712766	275.9363216	UBB;RPS27A;UBA52
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer Homo sapiens R-HSA-2173793	Mar-44	1.81E-04	6.36E-04	0	0	30.99481059	267.0583627	UBB;RPS27A;UBA52
Interleukin-1 signaling Homo sapiens R-HSA-446652	Mar-44	1.81E-04	6.36E-04	0	0	30.99481059	267.0583627	UBB;RPS27A;UBA52
Diseases of metabolism Homo sapiens R-HSA-5668914	Mar-45	1.94E-04	6.69E-04	0	0	30.25531915	258.6525249	UBB;RPS27A;UBA52
