"";"ID";"pdf_name";"line_text2"
"22";2;"Identifying associations among genomic, proteomic and imaging biomarkers via adaptive sparse multi-view canonical correlation analysis.pdf";"Interestingly, on                       In summary, this simulation study demonstrated the essential and Data 1 and Data 2 where the three SCCA sub-objectives were im-                        superiority of the adaptive strategy (Kendall et al., 2018), and thus balanced, unAdaSMCCA and rAdaSMCCA outperformed both bench-                           the success of our unAdaSMCCA. marks by holding higher CCCs. "
"23";2;"Identifying associations among genomic, proteomic and imaging biomarkers via adaptive sparse multi-view canonical correlation analysis.pdf";"On Data 3 where three SCCA subobjectives were balanced, all four methods obtained acceptable performance. "
"24";2;"Identifying associations among genomic, proteomic and imaging biomarkers via adaptive sparse multi-view canonical correlation analysis.pdf";"Given these SNPs, proteomic markers and brain imagEducation (mean±std)         15.88±2.77       16.03±2.98         15.12±3.05 ing QTs, our aim is to study their multi-way bi-multivariate associations, and to identify biomarkers of relevance which could enable a more targeted and in-depth follow-up analysis.   early Alzheimer’s disease (AD). "
"25";2;"Identifying associations among genomic, proteomic and imaging biomarkers via adaptive sparse multi-view canonical correlation analysis.pdf";"This implies that both sub-objectives of SMCCA, i.e. "
"26";2;"Identifying associations among genomic, proteomic and imaging biomarkers via adaptive sparse multi-view canonical correlation analysis.pdf";"More intereach sub-objective, signiﬁcant improvement could be obtained. "
"27";2;"Identifying associations among genomic, proteomic and imaging biomarkers via adaptive sparse multi-view canonical correlation analysis.pdf";"In                        estingly, owing to FGL penalty, both unAdaSMCCA and rAdaSMa word, unAdSMCCA performed the best thnks to its consider-                          CCA showed  feture grouping result which ws in greement tion of each sub-objective’s uncertainty as well as the elaborated                      with linkage disequilibrium (LD). "
"28";2;"Identifying associations among genomic, proteomic and imaging biomarkers via adaptive sparse multi-view canonical correlation analysis.pdf";"; Biogen; Bristol-Myers Squibb Company; CereSpir, Inc.; of the square root of the sub-objective as an additional weight for        Cogstate; Eisai Inc."
"29";2;"Identifying associations among genomic, proteomic and imaging biomarkers via adaptive sparse multi-view canonical correlation analysis.pdf";"; Eli Lilly and Comeach sub-objective. "
"30";2;"Identifying associations among genomic, proteomic and imaging biomarkers via adaptive sparse multi-view canonical correlation analysis.pdf";"; Johnobjective. unAdaSMCCA is more complicated but its performance              son & Johnson Pharmaceutical Research & Development LLC."
"31";3;"Integrative analyses of TEDDY Omics data reveal lipid metabolism abnormalities, increased intracellular ROS and heightened inflammation prior to autoimmunity for type 1 diabetes.pdf";"Integrative analyses of TEDDY Omics data reveal lipid metabolism abnormalities, increased intracellular ROS and heightened inflammation prior to autoimmunity for type 1 diabetes. zenodo. https://doi.org/10.5281/zenodo.4403320   Publisher’s Note Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations. "
"32";4;"Integrative genomic analysis identified common regulatory networks underlying the correlation between coronary artery disease and plasma lipid levels.pdf";"Publisher’s Note Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations. "
"33";5;"JDSNMF- Joint Deep Semi-Non-Negative Matrix Factorization for Learning Integrative Representation of Molecular Signals in Alzheimer's Disease.pdf";"By integrating multi-omics data, we can capture more complex Publisher’s Note: MDPI stays neutral interactions of the biological system. with regard to jurisdictional claims in Motivated by this, many studies using various machine learning methods have been published maps and institutional affiliations.  performed to integrate multi-omics data, including MOFA [1] based on factor analysis, MSFA [2] based on factor analysis, RGCCA [3] based on canonical correlation analysis, joint NMF (jNMF) [4] based on non-negative matrix factorization (NMF), integrative NMF [5] based on NMF, intNMF [6] based on NMF, iCluster [7] based on Gaussian latent variable model, and JIVE [8] based on principal component analysis. "
"34";5;"JDSNMF- Joint Deep Semi-Non-Negative Matrix Factorization for Learning Integrative Representation of Molecular Signals in Alzheimer's Disease.pdf";"A common aim of these Copyright: © 2021 by the authors. approaches is to characterize heterogeneity between samples. "
"35";5;"JDSNMF- Joint Deep Semi-Non-Negative Matrix Factorization for Learning Integrative Representation of Molecular Signals in Alzheimer's Disease.pdf";"NMF approximately decomposes X ≈ Z + H + by minimizing the following objective function.  mink X − ZH k2F ,             s.t. "
"36";5;"JDSNMF- Joint Deep Semi-Non-Negative Matrix Factorization for Learning Integrative Representation of Molecular Signals in Alzheimer's Disease.pdf";"The multiplicative update rule [11] has been frequently used to minimize the objective function.  "
"37";5;"JDSNMF- Joint Deep Semi-Non-Negative Matrix Factorization for Learning Integrative Representation of Molecular Signals in Alzheimer's Disease.pdf";"Given non-negative I matrices X1 ∈ Rm×n1 , . . . , X I ∈ Rm×n I , jNMF approximately decomposes with X1 ≈ Z + H1+ , . . . , X I ≈ Z + H I+ as the following objective function.  "
"38";5;"JDSNMF- Joint Deep Semi-Non-Negative Matrix Factorization for Learning Integrative Representation of Molecular Signals in Alzheimer's Disease.pdf";"Semi-NMF decomposes with X ± ≈ Z ± H + , minimizing the following objective function.  mink X − ZH k2F ,        s.t. "
"39";5;"JDSNMF- Joint Deep Semi-Non-Negative Matrix Factorization for Learning Integrative Representation of Molecular Signals in Alzheimer's Disease.pdf";"Z M ± + H M , minimizing the following objective function.  min k X − Z1 ( Z2 (· · · ( Z M H M )))k2F , Zm ,H M                                                        (4) s.t. "
"40";5;"JDSNMF- Joint Deep Semi-Non-Negative Matrix Factorization for Learning Integrative Representation of Molecular Signals in Alzheimer's Disease.pdf";"JDSNMF decomposes the given original matrices by minimizing the following objective function.  "
"41";5;"JDSNMF- Joint Deep Semi-Non-Negative Matrix Factorization for Learning Integrative Representation of Molecular Signals in Alzheimer's Disease.pdf";"Three datasets with small sample sizes and high dimensionality are simulated, while most of the features are irrelevant to the objective. "
