Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
G2/M DNA damage checkpoint Homo sapiens R-HSA-69473	2/78	0.0162985561731684	0.20919765331000295	0	0	10.895833333333334	44.85464558420347	HERC2;TP53BP1
Processing of DNA double-strand break ends Homo sapiens R-HSA-5693607	2/81	0.017501658697958892	0.20919765331000295	0	0	10.48048523206751	42.398379802278754	HERC2;TP53BP1
Free fatty acids regulate insulin secretion Homo sapiens R-HSA-400451	1/8	0.01982916145118511	0.20919765331000295	0	0	58.142857142857146	227.9549801512961	PLCB3
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion Homo sapiens R-HSA-434316	1/8	0.01982916145118511	0.20919765331000295	0	0	58.142857142857146	227.9549801512961	PLCB3
Axonal growth inhibition (RHOA activation) Homo sapiens R-HSA-193634	1/8	0.01982916145118511	0.20919765331000295	0	0	58.142857142857146	227.9549801512961	ARHGEF1
tRNA modification in the mitochondrion Homo sapiens R-HSA-6787450	1/8	0.01982916145118511	0.20919765331000295	0	0	58.142857142857146	227.9549801512961	PUS1
p75NTR regulates axonogenesis Homo sapiens R-HSA-193697	1/9	0.022280559123686802	0.21738230001839368	0	0	50.87244897959184	193.52086993316271	ARHGEF1
SUMO E3 ligases SUMOylate target proteins Homo sapiens R-HSA-3108232	2/96	0.024055644471290525	0.21738230001839368	0	0	8.801418439716311	32.80628046281635	HERC2;TP53BP1
Role of second messengers in netrin-1 signaling Homo sapiens R-HSA-418890	1/10	0.02472594881725805	0.21738230001839368	0	0	45.21768707482993	167.3010120823387	PLCG1
Acetylcholine regulates insulin secretion Homo sapiens R-HSA-399997	1/10	0.02472594881725805	0.21738230001839368	0	0	45.21768707482993	167.3010120823387	PLCB3
SUMOylation Homo sapiens R-HSA-2990846	2/101	0.02643151920502357	0.22045722173216906	0	0	8.35479797979798	30.35463590957481	HERC2;TP53BP1
Signaling by FGFR4 in disease Homo sapiens R-HSA-5655291	1/11	0.027165344857992397	0.22045722173216906	0	0	40.69387755102041	146.73452100035948	PLCG1
PECAM1 interactions Homo sapiens R-HSA-210990	1/12	0.029598761568907096	0.23130884040886657	0	0	36.99257884972171	130.2147194065139	PLCG1
HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA) Homo sapiens R-HSA-5693567	2/112	0.03197607762407203	0.2394302421605381	0	0	7.515151515151516	25.872917364872013	HERC2;TP53BP1
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion Homo sapiens R-HSA-399955	1/14	0.034447714169871156	0.2394302421605381	0	0	31.298273155416013	105.4223689491126	PIP5K1C
SUMOylation of transcription factors Homo sapiens R-HSA-3232118	1/14	0.034447714169871156	0.2394302421605381	0	0	31.298273155416013	105.4223689491126	TP53BP1
Homology Directed Repair Homo sapiens R-HSA-5693538	2/118	0.035176955009368155	0.2394302421605381	0	0	7.124281609195402	23.8475644827565	HERC2;TP53BP1
mRNA decay by 5' to 3' exoribonuclease Homo sapiens R-HSA-430039	1/15	0.03686327859360632	0.2430672432265917	0	0	29.06122448979592	95.91771596133705	EDC4
Adaptive Immune System Homo sapiens R-HSA-1280218	5/762	0.04096802953041352	0.2586404164985372	0	0	2.8171143402319094	9.000576883886527	ACTR1B;HERC2;UBE3B;PIP5K1C;PLCG1
Formation of Senescence-Associated Heterochromatin Foci (SAHF) Homo sapiens R-HSA-2559584	1/17	0.04167665479123348	0.2586404164985372	0	0	25.426020408163264	80.79916728086499	EP400
mRNA Splicing - Major Pathway Homo sapiens R-HSA-72163	2/134	0.04428445162178129	0.26577982854379	0	0	6.255681818181818	19.49972118549308	PTBP1;DHX38
G beta:gamma signalling through PLC beta Homo sapiens R-HSA-418217	1/20	0.04885254998202776	0.26577982854379	0	0	21.408163265306122	64.63014669364038	PLCB3
mRNA Splicing Homo sapiens R-HSA-72172	2/144	0.05037319219466424	0.26577982854379	0	0	5.812206572769953	17.368594502988177	PTBP1;DHX38
DNA Double-Strand Break Repair Homo sapiens R-HSA-5693532	2/145	0.05099795041423388	0.26577982854379	0	0	5.771270396270396	17.175126609053667	HERC2;TP53BP1
Presynaptic function of Kainate receptors Homo sapiens R-HSA-500657	1/21	0.0512327930672156	0.26577982854379	0	0	20.336734693877553	60.42807445408675	PLCB3
Mitochondrial tRNA aminoacylation Homo sapiens R-HSA-379726	1/21	0.0512327930672156	0.26577982854379	0	0	20.336734693877553	60.42807445408675	CARS2
Signaling by FGFR3 point mutants in cancer Homo sapiens R-HSA-8853338	1/22	0.05360719859925478	0.26577982854379	0	0	19.367346938775512	56.67024999786951	PLCG1
Signaling by FGFR3 in disease Homo sapiens R-HSA-5655332	1/22	0.05360719859925478	0.26577982854379	0	0	19.367346938775512	56.67024999786951	PLCG1
G2/M Checkpoints Homo sapiens R-HSA-69481	2/150	0.05416366174115152	0.26577982854379	0	0	5.574887387387387	16.25495026487543	HERC2;TP53BP1
MicroRNA (miRNA) biogenesis Homo sapiens R-HSA-203927	1/23	0.05597578058787951	0.26842931145551313	0	0	18.4860853432282	53.29235549319145	DGCR8
TRP channels Homo sapiens R-HSA-3295583	1/25	0.06069552982417541	0.2731349550422467	0	0	16.943877551020407	47.47480020477031	TRPC4AP
Phospholipid metabolism Homo sapiens R-HSA-1483257	2/161	0.06136565266642165	0.2731349550422467	0	0	5.186320754716981	14.474528542436863	INPPL1;PIP5K1C
Signaling by FGFR2 Homo sapiens R-HSA-5654738	3/361	0.061379954203157866	0.2731349550422467	0	0	3.493165339355759	9.748278619762948	PTBP1;PIP5K1C;PLCG1
FGFR2 alternative splicing Homo sapiens R-HSA-6803529	1/26	0.06304672495404354	0.2731349550422467	0	0	16.26530612244898	44.95534064809558	PTBP1
Signaling by FGFR Homo sapiens R-HSA-190236	3/366	0.0634294445358772	0.2731349550422467	0	0	3.4441709161244947	9.498427891223768	PTBP1;PIP5K1C;PLCG1
RNA Polymerase III Transcription Initiation From Type 2 Promoter Homo sapiens R-HSA-76066	1/27	0.06539215225886762	0.27595488253242134	0	0	15.638932496075354	42.652889831563165	GTF3C1
RNA Polymerase III Transcription Initiation From Type 1 Promoter Homo sapiens R-HSA-76061	1/28	0.0677318256109869	0.28022382752780856	0	0	15.058956916099774	40.541710435272364	GTF3C1
Activation of Kainate Receptors upon glutamate binding Homo sapiens R-HSA-451326	1/30	0.0723939657090184	0.2905363508592328	0	0	14.019000703729768	36.80874147674154	PLCB3
Disassembly of the destruction complex and recruitment of AXIN to the membrane Homo sapiens R-HSA-4641262	1/31	0.07471646000262763	0.2905363508592328	0	0	13.551020408163266	35.15209038871121	CSNK1G2
Cell Cycle Checkpoints Homo sapiens R-HSA-69620	2/182	0.07595327125893173	0.2905363508592328	0	0	4.576388888888889	11.79626923326343	HERC2;TP53BP1
DAG and IP3 signaling Homo sapiens R-HSA-1489509	1/32	0.07703325543276686	0.2905363508592328	0	0	13.113232389730086	33.61600807740255	PLCG1
Sphingolipid de novo biosynthesis Homo sapiens R-HSA-1660661	1/33	0.0793443657059371	0.2905363508592328	0	0	12.70280612244898	32.18837516559274	CSNK1G2
EGFR interacts with phospholipase C-gamma Homo sapiens R-HSA-212718	1/34	0.0816498044624026	0.2905363508592328	0	0	12.317254174397032	30.85861216573232	PLCG1
PLC-gamma1 signalling Homo sapiens R-HSA-167021	1/34	0.0816498044624026	0.2905363508592328	0	0	12.317254174397032	30.85861216573232	PLCG1
Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833	4/659	0.08197035044665235	0.2905363508592328	0	0	2.561566544971789	6.407496605131082	MED25;INPPL1;PIP5K1C;CSNK1G2
Generation of second messenger molecules Homo sapiens R-HSA-202433	1/35	0.08394958536129378	0.2905363508592328	0	0	11.95438175270108	29.617445035780882	PLCG1
Processing of Capped Intron-Containing Pre-mRNA Homo sapiens R-HSA-72203	2/193	0.08399392133845118	0.2905363508592328	0	0	4.31042757417103	10.676975859773291	PTBP1;DHX38
RNA Polymerase III Transcription Initiation Homo sapiens R-HSA-76046	1/36	0.08624372197430759	0.29350686026740164	0	0	11.612244897959183	28.456712045041098	GTF3C1
Signaling by FGFR1 in disease Homo sapiens R-HSA-5655302	1/38	0.09081511663134849	0.29766751567659594	0	0	10.983452840595698	26.34852930034076	PLCG1
Ion channel transport Homo sapiens R-HSA-983712	2/203	0.09152002195394623	0.29766751567659594	0	0	4.093905472636816	9.789336578359592	ATP13A2;TRPC4AP
tRNA modification in the nucleus and cytosol Homo sapiens R-HSA-6782315	1/39	0.09309240170465724	0.29766751567659594	0	0	10.693877551020408	25.38900533231373	PUS1
RNA Polymerase III Abortive And Retractive Initiation Homo sapiens R-HSA-749476	1/41	0.09763021468476817	0.29766751567659594	0	0	10.158163265306122	23.633660200289185	GTF3C1
RNA Polymerase III Transcription Homo sapiens R-HSA-74158	1/41	0.09763021468476817	0.29766751567659594	0	0	10.158163265306122	23.633660200289185	GTF3C1
Netrin-1 signaling Homo sapiens R-HSA-373752	1/42	0.09989076947033614	0.29766751567659594	0	0	9.909905425584869	22.829231064333683	PLCG1
tRNA Aminoacylation Homo sapiens R-HSA-379724	1/42	0.09989076947033614	0.29766751567659594	0	0	9.909905425584869	22.829231064333683	CARS2
Signaling by FGFR2 in disease Homo sapiens R-HSA-5655253	1/43	0.10214577427941592	0.29766751567659594	0	0	9.673469387755102	22.068611238785657	PLCG1
Signalling by NGF Homo sapiens R-HSA-166520	3/450	0.10237121325647788	0.29766751567659594	0	0	2.7849493074396685	6.3473164522024055	ARHGEF1;PIP5K1C;PLCG1
Phospholipase C-mediated cascade; FGFR3 Homo sapiens R-HSA-5654227	1/44	0.10439524246477773	0.29766751567659594	0	0	9.448030374940673	21.34849709415977	PLCG1
PLC beta mediated events Homo sapiens R-HSA-112043	1/44	0.10439524246477773	0.29766751567659594	0	0	9.448030374940673	21.34849709415977	PLCB3
Intra-Golgi traffic Homo sapiens R-HSA-6811438	1/44	0.10439524246477773	0.29766751567659594	0	0	9.448030374940673	21.34849709415977	COG7
G-protein mediated events Homo sapiens R-HSA-112040	1/45	0.10663918735293466	0.2978515939124841	0	0	9.232838589981448	20.665901611884028	PLCB3
Phospholipase C-mediated cascade; FGFR4 Homo sapiens R-HSA-5654228	1/46	0.10887762220856746	0.2978515939124841	0	0	9.02721088435374	20.018117808730278	PLCG1
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers Homo sapiens R-HSA-983695	1/47	0.11111056030365549	0.2978515939124841	0	0	8.830523513753327	19.402687070536402	PLCG1
Phospholipase C-mediated cascade: FGFR1 Homo sapiens R-HSA-5654219	1/47	0.11111056030365549	0.2978515939124841	0	0	8.830523513753327	19.402687070536402	PLCG1
Signaling by the B Cell Receptor (BCR) Homo sapiens R-HSA-983705	2/233	0.11519321801475478	0.2978515939124841	0	0	3.5568181818181817	7.686797709159083	PIP5K1C;PLCG1
Phospholipase C-mediated cascade; FGFR2 Homo sapiens R-HSA-5654221	1/49	0.11555999902224065	0.2978515939124841	0	0	8.46173469387755	18.260130793597916	PLCG1
Retrograde transport at the Trans-Golgi-Network Homo sapiens R-HSA-6811440	1/49	0.11555999902224065	0.2978515939124841	0	0	8.46173469387755	18.260130793597916	COG7
Deadenylation-dependent mRNA decay Homo sapiens R-HSA-429914	1/50	0.1177765260040411	0.2978515939124841	0	0	8.28862973760933	17.7290996615035	EDC4
G-protein beta:gamma signalling Homo sapiens R-HSA-397795	1/51	0.11998760892209076	0.2978515939124841	0	0	8.122448979591837	17.22257115519733	PLCB3
mRNA 3'-end processing Homo sapiens R-HSA-72187	1/51	0.11998760892209076	0.2978515939124841	0	0	8.122448979591837	17.22257115519733	DHX38
Post-Elongation Processing of Intron-Containing pre-mRNA Homo sapiens R-HSA-112296	1/51	0.11998760892209076	0.2978515939124841	0	0	8.122448979591837	17.22257115519733	DHX38
Golgi Associated Vesicle Biogenesis Homo sapiens R-HSA-432722	1/54	0.1265883240687765	0.3105829811454865	0	0	7.661532537543319	15.834970375184442	HIP1R
Ion transport by P-type ATPases Homo sapiens R-HSA-936837	1/55	0.12877776139221664	0.31166871671945406	0	0	7.519274376417234	15.412009607623004	ATP13A2
rRNA modification in the nucleus Homo sapiens R-HSA-6790901	1/58	0.13531385173981347	0.31166871671945406	0	0	7.122448979591836	14.246025949065045	NOP2
DNA Damage/Telomere Stress Induced Senescence Homo sapiens R-HSA-2559586	1/59	0.1374818510452552	0.31166871671945406	0	0	6.9992962702322306	13.8884471557023	EP400
Antigen processing: Ubiquitination & Proteasome degradation Homo sapiens R-HSA-983168	2/260	0.13768217344329312	0.31166871671945406	0	0	3.1802325581395348	6.30578846239396	HERC2;UBE3B
Role of phospholipids in phagocytosis Homo sapiens R-HSA-2029485	1/60	0.13964452305344063	0.31166871671945406	0	0	6.88031822898651	13.544974303558986	PLCG1
Cleavage of Growing Transcript in the Termination Region Homo sapiens R-HSA-109688	1/60	0.13964452305344063	0.31166871671945406	0	0	6.88031822898651	13.544974303558986	DHX38
RNA Polymerase II Transcription Termination Homo sapiens R-HSA-73856	1/60	0.13964452305344063	0.31166871671945406	0	0	6.88031822898651	13.544974303558986	DHX38
Post-Elongation Processing of the Transcript Homo sapiens R-HSA-76044	1/60	0.13964452305344063	0.31166871671945406	0	0	6.88031822898651	13.544974303558986	DHX38
Post-translational protein modification Homo sapiens R-HSA-597592	3/521	0.141099118034364	0.31166871671945406	0	0	2.3944795859689476	4.689091823547907	HERC2;COG7;TP53BP1
Ca2+ pathway Homo sapiens R-HSA-4086398	1/61	0.1418018805927374	0.31166871671945406	0	0	6.76530612244898	13.214837540593157	PLCB3
FCERI mediated Ca+2 mobilization Homo sapiens R-HSA-2871809	1/62	0.14395393646955568	0.3131369133513015	0	0	6.654064904650385	12.897320592663672	PLCG1
Signaling by FGFR in disease Homo sapiens R-HSA-1226099	1/63	0.1461007034145454	0.3145637593925416	0	0	6.54641211323239	12.591756250239605	PLCG1
Semaphorin interactions Homo sapiens R-HSA-373755	1/67	0.15463513630999146	0.32591701827870767	0	0	6.148423005565863	11.477180657220888	PIP5K1C
Transport of Mature mRNA derived from an Intron-Containing Transcript Homo sapiens R-HSA-159236	1/68	0.15675564908065587	0.32591701827870767	0	0	6.0563508985683825	11.222824361971771	DHX38
DNA Repair Homo sapiens R-HSA-73894	2/285	0.15929628213280486	0.32591701827870767	0	0	2.8956124852767964	5.319209445191497	HERC2;TP53BP1
trans-Golgi Network Vesicle Budding Homo sapiens R-HSA-199992	1/70	0.16098104828531062	0.32591701827870767	0	0	5.880212954747116	10.740024519792764	HIP1R
Clathrin derived vesicle budding Homo sapiens R-HSA-421837	1/70	0.16098104828531062	0.32591701827870767	0	0	5.880212954747116	10.740024519792764	HIP1R
Diseases of signal transduction Homo sapiens R-HSA-5663202	2/288	0.1619328177282459	0.32591701827870767	0	0	2.8648018648018647	5.215583031452717	CDC37;PLCG1
ISG15 antiviral mechanism Homo sapiens R-HSA-1169408	1/72	0.16518569591012358	0.32591701827870767	0	0	5.713998275366484	10.289111031016239	PLCG1
Antiviral mechanism by IFN-stimulated genes Homo sapiens R-HSA-1169410	1/72	0.16518569591012358	0.32591701827870767	0	0	5.713998275366484	10.289111031016239	PLCG1
Signaling by Wnt Homo sapiens R-HSA-195721	2/295	0.16811632853906308	0.32591701827870767	0	0	2.795364050056883	4.98441114256764	PLCB3;CSNK1G2
Sphingolipid metabolism Homo sapiens R-HSA-428157	1/74	0.16936969182663447	0.32591701827870767	0	0	5.556891249650545	9.867213018330611	CSNK1G2
Transport of Mature Transcript to Cytoplasm Homo sapiens R-HSA-72202	1/74	0.16936969182663447	0.32591701827870767	0	0	5.556891249650545	9.867213018330611	DHX38
G alpha (12/13) signalling events Homo sapiens R-HSA-416482	1/75	0.1714539764404576	0.32591701827870767	0	0	5.4815223386651954	9.666337985731483	ARHGEF1
SUMOylation of DNA damage response and repair proteins Homo sapiens R-HSA-3108214	1/75	0.1714539764404576	0.32591701827870767	0	0	5.4815223386651954	9.666337985731483	HERC2
Class I MHC mediated antigen processing & presentation Homo sapiens R-HSA-983169	2/305	0.17702120984745526	0.32978379158121723	0	0	2.7017326732673266	4.67801155366643	HERC2;UBE3B
COPI-mediated anterograde transport Homo sapiens R-HSA-6807878	1/78	0.17767612543797884	0.32978379158121723	0	0	5.267161410018553	9.10056411919043	COG7
Glucose metabolism Homo sapiens R-HSA-70326	1/79	0.17973998119355442	0.32978379158121723	0	0	5.199372056514914	8.923391206941128	ADPGK
Transcriptional regulation of white adipocyte differentiation Homo sapiens R-HSA-381340	1/79	0.17973998119355442	0.32978379158121723	0	0	5.199372056514914	8.923391206941128	MED25
Regulation of insulin secretion Homo sapiens R-HSA-422356	1/80	0.181798760490535	0.33046953903376974	0	0	5.133298889175924	8.751529842637671	PLCB3
Opioid Signalling Homo sapiens R-HSA-111885	1/81	0.18385247549919195	0.33046953903376974	0	0	5.0688775510204085	8.584760541358477	PLCB3
Immune System Homo sapiens R-HSA-168256	6/1547	0.18720140317682105	0.33046953903376974	0	0	1.629018936935874	2.7295356175098515	ACTR1B;HERC2;INPPL1;UBE3B;PIP5K1C;PLCG1
PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling Homo sapiens R-HSA-6811558	1/83	0.18794476153579323	0.33046953903376974	0	0	4.944748631159781	8.265677319811374	PIP5K1C
p75 NTR receptor-mediated signalling Homo sapiens R-HSA-193704	1/83	0.18794476153579323	0.33046953903376974	0	0	4.944748631159781	8.265677319811374	ARHGEF1
Metabolism Homo sapiens R-HSA-1430728	7/1908	0.19591550399980037	0.3309401920623647	0	0	1.5456124683459134	2.519459321168589	MED25;PLCB3;ADPGK;INPPL1;PIP5K1C;PLCG1;CSNK1G2
Downstream signaling of activated FGFR2 Homo sapiens R-HSA-5654696	2/329	0.1986841014800689	0.3309401920623647	0	0	2.500382262996942	4.040715615235962	PIP5K1C;PLCG1
Downstream signaling of activated FGFR4 Homo sapiens R-HSA-5654716	2/329	0.1986841014800689	0.3309401920623647	0	0	2.500382262996942	4.040715615235962	PIP5K1C;PLCG1
Downstream signaling of activated FGFR3 Homo sapiens R-HSA-5654708	2/329	0.1986841014800689	0.3309401920623647	0	0	2.500382262996942	4.040715615235962	PIP5K1C;PLCG1
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956	1/89	0.20010134077429026	0.3309401920623647	0	0	4.6062152133580705	7.411084001248333	UPF1
Signaling by FGFR4 Homo sapiens R-HSA-5654743	2/332	0.2014165064770608	0.3309401920623647	0	0	2.477272727272727	3.9695331233769515	PIP5K1C;PLCG1
Downstream signaling of activated FGFR1 Homo sapiens R-HSA-5654687	2/332	0.2014165064770608	0.3309401920623647	0	0	2.477272727272727	3.9695331233769515	PIP5K1C;PLCG1
Negative regulation of the PI3K/AKT network Homo sapiens R-HSA-199418	1/90	0.20211002319239676	0.3309401920623647	0	0	4.55423068103646	7.281955543769811	PIP5K1C
Signaling by FGFR3 Homo sapiens R-HSA-5654741	2/333	0.20232836386751207	0.3309401920623647	0	0	2.469662638469285	3.946183386445572	PIP5K1C;PLCG1
Signaling by FGFR1 Homo sapiens R-HSA-5654736	2/336	0.20506698990683503	0.33283949900263227	0	0	2.4471057884231535	3.8772398617417148	PIP5K1C;PLCG1
Downstream signal transduction Homo sapiens R-HSA-186763	2/341	0.20964106712931346	0.33766614629225294	0	0	2.4103982300884956	3.765905957717639	PIP5K1C;PLCG1
DAP12 signaling Homo sapiens R-HSA-2424491	2/344	0.21239098706631981	0.3395037747802536	0	0	2.388888888888889	3.7011686802461354	PIP5K1C;PLCG1
Stimuli-sensing channels Homo sapiens R-HSA-2672351	1/100	0.22192691156038513	0.34465988640503226	0	0	4.092145949288806	6.1603458876211565	TRPC4AP
Signaling by EGFR Homo sapiens R-HSA-177929	2/355	0.22250539903384098	0.34465988640503226	0	0	2.313149197355996	3.4762096636349433	PIP5K1C;PLCG1
Cell surface interactions at the vascular wall Homo sapiens R-HSA-202733	1/101	0.22388186624120487	0.34465988640503226	0	0	4.051020408163265	6.062906014187368	PLCG1
Gene Silencing by RNA Homo sapiens R-HSA-211000	1/101	0.22388186624120487	0.34465988640503226	0	0	4.051020408163265	6.062906014187368	DGCR8
DAP12 interactions Homo sapiens R-HSA-2172127	2/359	0.22619424099884988	0.34465988640503226	0	0	2.286764705882353	3.3989582760972072	PIP5K1C;PLCG1
MHC class II antigen presentation Homo sapiens R-HSA-2132295	1/103	0.2277773453985499	0.34465988640503226	0	0	3.971188475390156	5.874923343943355	ACTR1B
tRNA processing Homo sapiens R-HSA-72306	1/103	0.2277773453985499	0.34465988640503226	0	0	3.971188475390156	5.874923343943355	PUS1
Signaling by PDGF Homo sapiens R-HSA-186797	2/364	0.23081235350249882	0.34465988640503226	0	0	2.2546040515653774	3.3055882286347833	PIP5K1C;PLCG1
Degradation of the extracellular matrix Homo sapiens R-HSA-1474228	1/106	0.2335846623503299	0.34465988640503226	0	0	3.857142857142857	5.6090983677319475	CAPN10
Nonsense-Mediated Decay (NMD) Homo sapiens R-HSA-927802	1/106	0.2335846623503299	0.34465988640503226	0	0	3.857142857142857	5.6090983677319475	UPF1
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) Homo sapiens R-HSA-975957	1/106	0.2335846623503299	0.34465988640503226	0	0	3.857142857142857	5.6090983677319475	UPF1
HATs acetylate histones Homo sapiens R-HSA-3214847	1/107	0.23551090700841826	0.3450888984637239	0	0	3.8205621871390067	5.524525481436682	EP400
NGF signalling via TRKA from the plasma membrane Homo sapiens R-HSA-187037	2/374	0.24006875927039623	0.34867203523078544	0	0	2.1928763440860215	3.128861534114344	PIP5K1C;PLCG1
Integration of energy metabolism Homo sapiens R-HSA-163685	1/110	0.24126121869049608	0.34867203523078544	0	0	3.714847406852649	5.282048795926194	PLCB3
PPARA activates gene expression Homo sapiens R-HSA-1989781	1/113	0.2469691364760274	0.3523453981525441	0	0	3.614795918367347	5.055262825364014	MED25
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) Homo sapiens R-HSA-400206	1/116	0.25263496658997786	0.3523453981525441	0	0	3.5199645075421473	4.8428011439058265	MED25
RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription Homo sapiens R-HSA-504046	1/116	0.25263496658997786	0.3523453981525441	0	0	3.5199645075421473	4.8428011439058265	GTF3C1
TCR signaling Homo sapiens R-HSA-202403	1/118	0.2563889548341396	0.3523453981525441	0	0	3.4594453165881736	4.708511372057024	PLCG1
Fc epsilon receptor (FCERI) signaling Homo sapiens R-HSA-2454202	2/395	0.2595684533753823	0.3523453981525441	0	0	2.073473282442748	2.7965656178163765	PIP5K1C;PLCG1
Fcgamma receptor (FCGR) dependent phagocytosis Homo sapiens R-HSA-2029480	1/120	0.26012446216628154	0.3523453981525441	0	0	3.4009603841536613	4.579716458908873	PLCG1
PI-3K cascade:FGFR1 Homo sapiens R-HSA-5654689	1/122	0.26384157776351647	0.3523453981525441	0	0	3.3444088379153314	4.456111874258477	PIP5K1C
PI-3K cascade:FGFR3 Homo sapiens R-HSA-5654710	1/122	0.26384157776351647	0.3523453981525441	0	0	3.3444088379153314	4.456111874258477	PIP5K1C
PI3K events in ERBB4 signaling Homo sapiens R-HSA-1250342	1/122	0.26384157776351647	0.3523453981525441	0	0	3.3444088379153314	4.456111874258477	PIP5K1C
PIP3 activates AKT signaling Homo sapiens R-HSA-1257604	1/122	0.26384157776351647	0.3523453981525441	0	0	3.3444088379153314	4.456111874258477	PIP5K1C
PI-3K cascade:FGFR4 Homo sapiens R-HSA-5654720	1/122	0.26384157776351647	0.3523453981525441	0	0	3.3444088379153314	4.456111874258477	PIP5K1C
PI-3K cascade:FGFR2 Homo sapiens R-HSA-5654695	1/122	0.26384157776351647	0.3523453981525441	0	0	3.3444088379153314	4.456111874258477	PIP5K1C
RNA Polymerase II Transcription Homo sapiens R-HSA-73857	1/124	0.2675403902734135	0.3530422650333816	0	0	3.2896963663514187	4.337414433160371	DHX38
GAB1 signalosome Homo sapiens R-HSA-180292	1/125	0.2693829605231016	0.3530422650333816	0	0	3.263001974983542	4.279822783786303	PIP5K1C
PI3K/AKT activation Homo sapiens R-HSA-198203	1/125	0.2693829605231016	0.3530422650333816	0	0	3.263001974983542	4.279822783786303	PIP5K1C
ER to Golgi Anterograde Transport Homo sapiens R-HSA-199977	1/131	0.28034336849839514	0.3651385848960579	0	0	3.111459968602826	3.956968446025251	COG7
Membrane Trafficking Homo sapiens R-HSA-199991	2/420	0.2828230936231133	0.3661084218066068	0	0	1.946969696969697	2.4588936191845474	COG7;HIP1R
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314	1/142	0.30002049698269956	0.386001980874083	0	0	2.8671298306556667	3.4517504575709377	PLCB3
Beta-catenin independent WNT signaling Homo sapiens R-HSA-3858494	1/144	0.30354106685611854	0.3881646370099455	0	0	2.826744683887541	3.370153465117457	PLCB3
