Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Asymmetric localization of PCP proteins Homo sapiens R-HSA-4608870	2/63	0.010854501389380216	0.05336796516445273	0	0	13.585382513661202	61.44906812714711	RPS27A;PSMA7
Hedgehog ligand biogenesis Homo sapiens R-HSA-5358346	2/64	0.01118690003742748	0.05435517312302998	0	0	13.365591397849462	60.051760195429935	RPS27A;PSMA7
ER-Phagosome pathway Homo sapiens R-HSA-1236974	2/65	0.011523761866123172	0.054704754605849074	0	0	13.152777777777779	58.70537343689256	RPS27A;PSMA7
G1/S DNA Damage Checkpoints Homo sapiens R-HSA-69615	2/65	0.011523761866123172	0.054704754605849074	0	0	13.152777777777779	58.70537343689256	RPS27A;PSMA7
APC/C:Cdc20 mediated degradation of Securin Homo sapiens R-HSA-174154	2/66	0.011865063410712947	0.05505922683847693	0	0	12.946614583333334	57.4073222604629	RPS27A;PSMA7
Activation of NF-kappaB in B cells Homo sapiens R-HSA-1169091	2/66	0.011865063410712947	0.05505922683847693	0	0	12.946614583333334	57.4073222604629	RPS27A;PSMA7
Regulation of RAS by GAPs Homo sapiens R-HSA-5658442	2/67	0.012210781302115073	0.05541816129421456	0	0	12.746794871794872	56.15518906635068	RPS27A;PSMA7
Assembly of the pre-replicative complex Homo sapiens R-HSA-68867	2/67	0.012210781302115073	0.05541816129421456	0	0	12.746794871794872	56.15518906635068	RPS27A;PSMA7
Cyclin E associated events during G1/S transition Homo sapiens R-HSA-69202	2/68	0.01256089224520355	0.05638748366596811	0	0	12.553030303030303	54.94671101969335	RPS27A;PSMA7
Cyclin A:Cdk2-associated events at S phase entry Homo sapiens R-HSA-69656	2/69	0.012915373039423325	0.05735536629335304	0	0	12.365049751243781	53.77976800231812	RPS27A;PSMA7
Switching of origins to a post-replicative state Homo sapiens R-HSA-69052	2/70	0.013274200561286012	0.057707840334853926	0	0	12.182598039215685	52.65237170003471	RPS27A;PSMA7
Orc1 removal from chromatin Homo sapiens R-HSA-68949	2/70	0.013274200561286012	0.057707840334853926	0	0	12.182598039215685	52.65237170003471	RPS27A;PSMA7
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 Homo sapiens R-HSA-174178	2/71	0.01363735177477663	0.05806418848435823	0	0	12.005434782608695	51.56265564232933	RPS27A;PSMA7
Cdc20:Phospho-APC/C mediated degradation of Cyclin A Homo sapiens R-HSA-174184	2/71	0.01363735177477663	0.05806418848435823	0	0	12.005434782608695	51.56265564232933	RPS27A;PSMA7
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint Homo sapiens R-HSA-179419	2/72	0.014004803729585262	0.05842408020523953	0	0	11.833333333333334	50.50886613536219	RPS27A;PSMA7
Removal of licensing factors from origins Homo sapiens R-HSA-69300	2/72	0.014004803729585262	0.05842408020523953	0	0	11.833333333333334	50.50886613536219	RPS27A;PSMA7
APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176409	2/74	0.014752518467007555	0.0609279012687412	0	0	11.503472222222221	48.50256694786101	RPS27A;PSMA7
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176814	2/75	0.015132735762129949	0.06125944300523835	0	0	11.345319634703197	47.54704276850611	RPS27A;PSMA7
Regulation of DNA replication Homo sapiens R-HSA-69304	2/75	0.015132735762129949	0.06125944300523835	0	0	11.345319634703197	47.54704276850611	RPS27A;PSMA7
Generic Transcription Pathway Homo sapiens R-HSA-212436	6/812	0.015277778764018278	0.06125944300523835	0	0	3.2388901421159484	13.542952323107787	PRDX2;COX7B;PRDX1;RPS27A;COX6C;LAMTOR4
Glucose metabolism Homo sapiens R-HSA-70326	2/79	0.016695477638347864	0.06566887871083493	0	0	10.753787878787879	44.01113934918422	MDH2;RPS27A
Regulation of APC/C activators between G1/S and early anaphase Homo sapiens R-HSA-176408	2/79	0.016695477638347864	0.06566887871083493	0	0	10.753787878787879	44.01113934918422	RPS27A;PSMA7
Degradation of beta-catenin by the destruction complex Homo sapiens R-HSA-195253	2/82	0.017910873954623378	0.06786413709412344	0	0	10.348958333333334	41.62710426921145	RPS27A;PSMA7
Antigen processing-Cross presentation Homo sapiens R-HSA-1236975	2/82	0.017910873954623378	0.06786413709412344	0	0	10.348958333333334	41.62710426921145	RPS27A;PSMA7
DNA Replication Pre-Initiation Homo sapiens R-HSA-69002	2/82	0.017910873954623378	0.06786413709412344	0	0	10.348958333333334	41.62710426921145	RPS27A;PSMA7
M/G1 Transition Homo sapiens R-HSA-68874	2/82	0.017910873954623378	0.06786413709412344	0	0	10.348958333333334	41.62710426921145	RPS27A;PSMA7
Hedgehog 'on' state Homo sapiens R-HSA-5632684	2/85	0.019162754331397695	0.070662656597029	0	0	9.973393574297189	39.44264488506008	RPS27A;PSMA7
APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143	2/85	0.019162754331397695	0.070662656597029	0	0	9.973393574297189	39.44264488506008	RPS27A;PSMA7
Regulation of mitotic cell cycle Homo sapiens R-HSA-453276	2/85	0.019162754331397695	0.070662656597029	0	0	9.973393574297189	39.44264488506008	RPS27A;PSMA7
Downregulation of ERBB4 signaling Homo sapiens R-HSA-1253288	1/8	0.01982916145118511	0.07100563482203161	0	0	58.142857142857146	227.9549801512961	RPS27A
GRB2 events in EGFR signaling Homo sapiens R-HSA-179812	3/235	0.020931697049044674	0.07100563482203161	0	0	5.424981658107117	20.975640931696432	PHB;RPS27A;PSMA7
SHC1 events in EGFR signaling Homo sapiens R-HSA-180336	3/235	0.020931697049044674	0.07100563482203161	0	0	5.424981658107117	20.975640931696432	PHB;RPS27A;PSMA7
SOS-mediated signalling Homo sapiens R-HSA-112412	3/235	0.020931697049044674	0.07100563482203161	0	0	5.424981658107117	20.975640931696432	PHB;RPS27A;PSMA7
SHC1 events in ERBB4 signaling Homo sapiens R-HSA-1250347	3/235	0.020931697049044674	0.07100563482203161	0	0	5.424981658107117	20.975640931696432	PHB;RPS27A;PSMA7
RAF/MAP kinase cascade Homo sapiens R-HSA-5673001	3/235	0.020931697049044674	0.07100563482203161	0	0	5.424981658107117	20.975640931696432	PHB;RPS27A;PSMA7
FRS-mediated FGFR2 signaling Homo sapiens R-HSA-5654700	3/236	0.02116457399673745	0.07100563482203161	0	0	5.401424527440416	20.82479543874002	PHB;RPS27A;PSMA7
FRS-mediated FGFR4 signaling Homo sapiens R-HSA-5654712	3/236	0.02116457399673745	0.07100563482203161	0	0	5.401424527440416	20.82479543874002	PHB;RPS27A;PSMA7
FRS-mediated FGFR3 signaling Homo sapiens R-HSA-5654706	3/236	0.02116457399673745	0.07100563482203161	0	0	5.401424527440416	20.82479543874002	PHB;RPS27A;PSMA7
FRS-mediated FGFR1 signaling Homo sapiens R-HSA-5654693	3/236	0.02116457399673745	0.07100563482203161	0	0	5.401424527440416	20.82479543874002	PHB;RPS27A;PSMA7
PCP/CE pathway Homo sapiens R-HSA-4086400	2/91	0.02177361021578966	0.07100563482203161	0	0	9.298220973782772	35.5848177883064	RPS27A;PSMA7
ARMS-mediated activation Homo sapiens R-HSA-170984	3/239	0.021871797180291763	0.07100563482203161	0	0	5.331950955643707	20.381687899834347	PHB;RPS27A;PSMA7
Signalling to p38 via RIT and RIN Homo sapiens R-HSA-187706	3/239	0.021871797180291763	0.07100563482203161	0	0	5.331950955643707	20.381687899834347	PHB;RPS27A;PSMA7
Frs2-mediated activation Homo sapiens R-HSA-170968	3/240	0.022110403168695048	0.07100563482203161	0	0	5.3091839482897925	20.237053883333374	PHB;RPS27A;PSMA7
MAPK6/MAPK4 signaling Homo sapiens R-HSA-5687128	2/92	0.022222383975626977	0.07100563482203161	0	0	9.194444444444445	35.00007985571613	RPS27A;PSMA7
CHL1 interactions Homo sapiens R-HSA-447041	1/9	0.022280559123686802	0.07100563482203161	0	0	50.87244897959184	193.52086993316271	HSPA8
